Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
Kushy,RRQ,"Sova, Tejo, Kayo",573,1.01,193.0,0.99,73.0,131.2,0.69,0.29,0.06,0.06,32.0,15%,8/53,31,393,396,166,35,36,vct_pacific_2025_s1
PatMen,PRX,"Kayo, Breach, Fade",412,1.00,193.0,0.96,75.0,124.8,0.65,0.44,0.05,0.05,30.0,24%,9/37,19,266,276,183,19,21,vct_pacific_2025_s1
Ash,GEN,"Tejo, Fade, Yoru",472,1.00,173.7,1.04,72.0,116.8,0.61,0.25,0.06,0.06,31.0,15%,7/48,19,290,280,117,26,27,vct_pacific_2025_s1
BeYN,DRX,"Sova, Omen, Fade",445,0.99,178.2,0.96,71.0,117.6,0.62,0.28,0.08,0.06,25.0,19%,9/47,19,277,290,126,35,28,vct_pacific_2025_s1
Killua,TLN,"Fade, Breach, Yoru",392,0.99,187.5,0.98,70.0,126.7,0.67,0.26,0.09,0.07,34.0,14%,6/44,18,263,268,101,36,29,vct_pacific_2025_s1
JessieVash,TS,"Sova, Tejo, Cypher",271,0.99,182.5,0.94,69.0,128.3,0.65,0.23,0.05,0.07,30.0,16%,8/50,20,176,187,62,14,19,vct_pacific_2025_s1
Persia,NS,"Omen, Astra, Viper",333,0.99,173.8,0.92,71.0,113.1,0.6,0.37,0.09,0.06,26.0,18%,7/39,22,200,218,123,29,19,vct_pacific_2025_s1
Famouz,BME,"Phoenix, Neon, Jett",344,0.99,228.3,1.08,71.0,146.7,0.82,0.21,0.19,0.19,21.0,12%,3/25,29,281,261,71,66,67,vct_pacific_2025_s1
d4v41,PRX,"Tejo, Kayo, Cypher",536,0.98,190.7,1.06,77.0,127.1,0.69,0.28,0.08,0.06,24.0,14%,10/71,24,371,350,151,43,34,vct_pacific_2025_s1
Meteor,T1,"Vyse, Viper, Iso",378,0.98,215.3,1.01,68.0,144.2,0.75,0.2,0.13,0.15,30.0,9%,4/43,24,283,279,76,51,58,vct_pacific_2025_s1
BuZz,T1,"Neon, Raze, Yoru",378,0.98,225.0,1.06,65.0,145.0,0.78,0.15,0.14,0.17,27.0,9%,3/35,30,294,278,57,52,64,vct_pacific_2025_s1
xffero,RRQ,"Cypher, Viper, Vyse",573,0.97,183.8,1.03,73.0,126.3,0.67,0.25,0.07,0.09,26.0,19%,14/75,23,385,374,142,38,49,vct_pacific_2025_s1
free1ng,DRX,"Cypher, Tejo, Vyse",484,0.97,189.6,1.01,69.0,123.7,0.67,0.19,0.12,0.1,27.0,14%,8/57,26,323,321,93,56,46,vct_pacific_2025_s1
CLZ,ZETA,"Tejo, Sova",255,0.96,178.1,0.88,68.0,126.2,0.61,0.22,0.07,0.04,26.0,16%,7/44,23,155,176,57,19,11,vct_pacific_2025_s1
Dambi,NS,"Waylay, Neon, Jett",333,0.95,210.8,0.99,67.0,133.6,0.72,0.24,0.15,0.18,24.0,16%,3/19,23,240,242,81,49,61,vct_pacific_2025_s1
gyen,DFM,"Viper, Astra, Brimstone",225,0.95,189.8,0.79,66.0,125.8,0.62,0.34,0.08,0.1,37.0,5%,2/38,21,139,177,76,17,22,vct_pacific_2025_s1
stax,T1,"Breach, Fade, Sova",378,0.95,175.2,0.94,70.0,119.2,0.64,0.33,0.03,0.06,31.0,12%,5/43,25,241,256,126,11,22,vct_pacific_2025_s1
crazyguy,RRQ,"Tejo, Breach, Omen",573,0.94,181.8,0.92,72.0,121.2,0.61,0.33,0.06,0.06,24.0,14%,10/72,23,352,384,187,37,33,vct_pacific_2025_s1
Monyet,RRQ,"Omen, Astra, Yoru",573,0.94,181.1,0.93,71.0,119.7,0.65,0.34,0.1,0.12,28.0,22%,13/59,25,375,402,196,55,66,vct_pacific_2025_s1
TenTen,ZETA,"Neon, Yoru",103,0.94,216.4,0.96,69.0,135.5,0.73,0.19,0.22,0.22,16.0,25%,1/4,20,75,78,20,23,23,vct_pacific_2025_s1
